ticker,setup,entry_date,exit_date,entry,exit,qty,days,pnl,pnl_pct,r,reason,m_r6m
TDW,pullback,2022-06-13,2022-06-14,25.54,24.3639,18,1,-25.21,-5.46,-1.191,손절,138.0
CNR,pullback,2022-06-16,2022-06-17,44.9417,43.4173,10,1,-19.22,-4.26,-1.261,손절,144.3
LNTH,pullback,2022-06-16,2022-06-17,62.36,60.72,5,1,-10.97,-3.5,-0.656,SMA50 이탈,142.3
HDSN,pullback,2022-06-16,2022-06-22,9.92,9.08,39,3,-36.09,-9.29,-1.166,갭하락 손절,159.2
MNTK,pullback,2022-06-17,2022-06-22,13.71,12.6132,27,2,-32.81,-8.82,-1.108,손절,38.0
TWI,pullback,2022-06-22,2022-06-23,18.16,16.7072,20,1,-32.19,-8.82,-1.108,손절,139.4
CNR,pullback,2022-06-22,2022-06-23,46.1656,42.4723,7,1,-28.64,-8.82,-1.108,손절,136.7
CMBT,pullback,2022-06-22,2022-06-23,6.6862,6.6078,2,1,-0.28,-2.06,-0.293,SMA50 이탈,44.0
ASC,pullback,2022-06-15,2022-06-24,5.918,5.4604,68,6,-34.6,-8.56,-1.112,손절,106.8
EOLS,pullback,2022-06-24,2022-06-28,12.28,11.87,28,2,-14.52,-4.2,-0.528,SMA50 이탈,82.3
CNR,pullback,2022-06-28,2022-06-29,51.8891,47.738,6,1,-27.6,-8.82,-1.108,손절,125.5
UNM,pullback,2022-06-27,2022-06-30,30.4429,30.212,7,3,-3.53,-1.65,-0.221,SMA50 이탈,45.4
WDS,pullback,2022-06-29,2022-06-30,16.5238,15.9683,18,1,-12.63,-4.23,-0.542,SMA50 이탈,47.4
LNTH,pullback,2022-07-01,2022-07-06,65.79,61.42,5,2,-24.71,-7.48,-0.939,SMA50 이탈,120.7
EOLS,pullback,2022-07-06,2022-07-26,12.3,12.1,26,14,20.0,6.23,0.782,SMA50 이탈,90.3
LLY,pullback,2022-06-23,2022-08-03,298.9696,303.1522,1,28,1.47,0.49,0.062,SMA50 이탈,17.3
SLP,pullback,2022-07-01,2022-09-01,48.775,58.1028,3,43,23.51,15.99,2.008,SMA50 이탈,1.9
CNR,pullback,2022-08-05,2022-09-16,54.7509,58.0167,6,29,32.96,9.99,1.254,SMA50 이탈,153.3
PRVA,pullback,2022-09-01,2022-09-19,39.51,37.79,9,11,-18.61,-5.21,-0.654,SMA50 이탈,55.7
SMCI,pullback,2022-09-16,2022-09-19,6.466,5.814,69,1,-48.8,-10.89,-1.597,갭하락 손절,52.9
XENE,pullback,2022-07-27,2022-09-23,32.92,35.53,12,41,38.79,9.78,1.443,SMA50 이탈,20.7
CBZ,pullback,2022-09-19,2022-09-23,43.99,43.49,8,4,-7.15,-2.02,-0.41,SMA50 이탈,8.5
HRB,pullback,2022-06-22,2022-09-26,29.2354,37.1753,12,66,56.64,16.07,4.558,SMA50 이탈,46.0
EXLS,pullback,2022-06-23,2022-09-26,28.21,29.536,12,65,25.96,7.63,1.226,SMA50 이탈,5.7
ALNY,pullback,2022-09-19,2022-09-26,210.92,197.3961,2,5,-30.72,-7.25,-1.136,손절,30.6
PBR,pullback,2022-09-23,2022-09-26,6.8457,6.3704,62,1,-33.16,-7.78,-1.923,갭하락 손절,39.9
ASC,pullback,2022-09-28,2022-09-29,7.7565,7.136,38,1,-26.13,-8.82,-1.108,손절,116.5
CNR,pullback,2022-09-29,2022-09-30,62.3862,60.0521,4,1,-11.54,-4.6,-0.578,SMA50 이탈,85.5
BJ,pullback,2022-09-27,2022-10-05,75.92,72.25,5,6,-21.68,-5.69,-1.023,SMA50 이탈,17.7
RLMD,pullback,2022-09-26,2022-10-13,32.2,6.66,10,13,-104.38,-32.27,-4.052,갭하락 손절,27.1
DK,pullback,2022-09-29,2022-10-14,23.4937,22.467,1,11,-1.23,-5.23,-0.656,SMA50 이탈,36.9
DCGO,pullback,2022-09-27,2022-10-26,10.21,10.16,33,21,-4.67,-1.38,-0.173,SMA50 이탈,20.4
RYTM,pullback,2022-10-26,2022-11-02,24.33,22.9,12,5,-19.71,-6.72,-0.844,SMA50 이탈,220.0
PLRX,pullback,2022-10-05,2022-11-07,21.38,21.65,15,23,26.24,8.14,1.023,SMA50 이탈,193.0
LNG,pullback,2022-09-30,2022-11-09,158.619,156.9513,2,28,-6.18,-1.94,-0.243,SMA50 이탈,16.8
WTI,pullback,2022-11-02,2022-11-09,7.4428,6.8473,42,5,9.63,3.07,0.385,손절,56.8
HAE,pullback,2022-11-07,2022-11-14,84.52,78.2496,4,5,-28.01,-8.25,-1.117,손절,55.5
SGML,pullback,2022-11-09,2022-11-14,35.94,33.0648,8,3,-25.49,-8.82,-1.108,손절,154.0
TDW,pullback,2022-11-14,2022-11-18,32.54,30.69,10,4,-21.35,-6.53,-1.154,손절,53.5
YPF,pullback,2022-11-14,2022-11-21,7.59,6.9828,39,5,-26.24,-8.82,-1.108,손절,80.0
TEN,pullback,2022-10-14,2022-11-23,14.3951,14.2459,2,28,1.89,6.52,0.819,SMA50 이탈,52.4
TNK,pullback,2022-10-13,2022-12-07,24.3258,25.5645,7,38,17.67,10.33,1.297,SMA50 이탈,70.4
PRTA,pullback,2022-11-23,2022-12-09,61.1,58.36,4,11,-13.11,-5.34,-0.671,SMA50 이탈,134.4
DGII,pullback,2022-11-09,2022-12-16,37.36,37.44,9,26,10.2,3.02,0.704,SMA50 이탈,87.0
CALX,pullback,2022-11-21,2022-12-19,69.45,67.67,4,19,-9.59,-3.44,-0.431,SMA50 이탈,100.5
IMCR,pullback,2022-12-16,2022-12-19,62.12,57.1504,4,1,-22.03,-8.82,-1.108,손절,99.8
PI,pullback,2022-12-20,2022-12-27,111.17,107.5,2,4,-9.31,-4.17,-0.918,SMA50 이탈,119.3
FTI,pullback,2022-12-27,2023-01-03,11.9002,11.3125,23,4,-15.92,-5.79,-0.727,SMA50 이탈,82.3
STNG,pullback,2022-11-18,2023-01-04,45.6577,43.0643,6,30,10.31,3.75,0.5,SMA50 이탈,72.1
ASC,pullback,2023-01-03,2023-01-04,11.3626,10.5927,29,1,-25.19,-7.61,-1.128,손절,106.7
SMCI,pullback,2023-01-04,2023-01-05,8.461,8.025,32,1,-16.33,-6.0,-0.754,SMA50 이탈,115.1
AXON,pullback,2023-01-04,2023-01-05,168.24,165.74,1,1,-4.0,-2.37,-0.536,SMA50 이탈,75.9
PCVX,pullback,2022-12-09,2023-01-11,43.94,40.7286,7,21,-25.15,-8.14,-1.119,손절,131.1
EXTR,pullback,2023-01-05,2023-01-19,18.64,18.64,17,9,-2.85,-0.9,-0.183,SMA50 이탈,112.7
AGYS,pullback,2023-01-11,2023-01-25,77.29,74.9331,4,9,1.91,0.62,0.203,손절,59.5
RYTM,pullback,2023-01-25,2023-01-30,30.65,28.198,9,3,-24.45,-8.82,-1.108,손절,169.4
AXSM,pullback,2023-01-19,2023-02-03,69.78,68.7,3,11,-5.11,-2.43,-0.305,SMA50 이탈,59.3
TME,pullback,2023-02-01,2023-02-06,8.2918,7.6285,33,3,-24.25,-8.82,-1.108,손절,117.4
CLDX,pullback,2023-02-03,2023-02-08,44.44,42.34,7,3,-17.43,-5.58,-0.899,SMA50 이탈,44.9
MOMO,pullback,2023-02-08,2023-02-17,8.0397,7.2432,33,7,-28.55,-10.71,-1.345,갭하락 손절,139.0
PDD,pullback,2023-02-17,2023-02-21,95.04,86.22,3,1,-28.91,-10.09,-1.633,갭하락 손절,103.7
PLRX,pullback,2023-02-21,2023-03-09,31.2,29.5317,9,12,-17.47,-6.2,-1.164,손절,58.0
YPF,pullback,2022-12-20,2023-03-10,7.99,10.65,34,54,64.21,23.53,2.954,SMA50 이탈,124.3
GGAL,pullback,2023-03-09,2023-03-10,10.7436,9.926,25,1,-22.77,-8.44,-1.114,손절,54.5
MOD,pullback,2023-02-06,2023-03-13,22.71,22.83,11,24,20.05,7.99,1.003,SMA50 이탈,58.5
CECO,pullback,2023-03-10,2023-03-13,15.26,14.0392,16,1,-21.64,-8.82,-1.108,손절,57.0
TCOM,pullback,2023-03-14,2023-03-15,37.3087,36.2041,6,1,-8.61,-3.83,-0.491,SMA50 이탈,45.9
VKTX,pullback,2023-03-15,2023-03-21,10.75,10.0188,24,4,-19.79,-7.64,-1.128,손절,235.4
MNSO,pullback,2023-01-05,2023-03-24,10.637,14.9794,20,54,58.26,27.26,3.423,SMA50 이탈,53.9
DHI,pullback,2023-03-10,2023-03-27,91.8836,91.9608,2,11,-1.5,-0.81,-0.11,SMA50 이탈,34.3
ALV,pullback,2023-03-27,2023-04-05,82.3226,81.07,3,7,-5.96,-2.4,-0.45,SMA50 이탈,29.3
BORR,pullback,2023-03-21,2023-04-21,6.8109,6.4495,35,22,-14.74,-6.15,-0.773,SMA50 이탈,76.2
OSPN,pullback,2023-04-05,2023-04-25,16.868,15.5185,14,13,-20.93,-8.82,-1.108,손절,103.2
AGI,pullback,2023-04-25,2023-04-27,12.6288,12.2199,17,2,-8.85,-4.1,-1.273,손절,75.7
ASO,pullback,2022-12-07,2023-05-01,48.3717,59.2514,2,98,15.81,16.27,2.69,SMA50 이탈,27.9
YEXT,pullback,2023-04-21,2023-05-02,9.1,8.59,25,7,-14.74,-6.45,-0.81,SMA50 이탈,103.1
